INFO     | 2013-02-14 15:02:06,408 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2013-02-14 15:02:43,095 | parser     | The models included in this analysis are: GTR+I+G, GTR+G
INFO     | 2013-02-14 15:02:43,095 | parser     | Setting datatype to 'DNA'
INFO     | 2013-02-14 15:02:43,096 | config     | Setting 'model_selection' to 'bic'
INFO     | 2013-02-14 15:02:43,245 | config     | Setting 'search' to 'greedy'
INFO     | 2013-02-14 15:02:43,245 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2013-02-14 15:02:43,246 | config     | Looking for alignment file './amphibians.phy'...
INFO     | 2013-02-14 15:02:43,246 | analysis   | Beginning Analysis
WARNING  | 2013-02-14 15:02:43,246 | analysis   | Deleting all previous workings in './analysis'
INFO     | 2013-02-14 15:02:43,254 | alignment  | Reading alignment file './amphibians.phy'
INFO     | 2013-02-14 15:02:49,325 | raxml      | Making MP tree for ./analysis/start_tree/filtered_source.phy
ERROR    | 2013-02-14 15:08:14,090 | main       | User interrupted the Program
INFO     | 2013-02-14 15:08:29,590 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2013-02-14 15:08:29,600 | config     | Setting 'alignment' to 'amphibians.phy'
INFO     | 2013-02-14 15:08:29,601 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2013-02-14 15:08:29,601 | parser     | Setting 'models' to 'all'
INFO     | 2013-02-14 15:08:29,601 | parser     | The models included in this analysis are: GTR+I+G, GTR+G
INFO     | 2013-02-14 15:08:29,602 | parser     | Setting datatype to 'DNA'
INFO     | 2013-02-14 15:08:29,602 | config     | Setting 'model_selection' to 'bic'
INFO     | 2013-02-14 15:08:29,748 | config     | Setting 'search' to 'greedy'
INFO     | 2013-02-14 15:08:29,748 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2013-02-14 15:08:29,748 | config     | Looking for alignment file './amphibians.phy'...
INFO     | 2013-02-14 15:08:29,748 | analysis   | Beginning Analysis
WARNING  | 2013-02-14 15:08:29,749 | analysis   | Deleting all previous workings in './analysis'
INFO     | 2013-02-14 15:08:29,802 | alignment  | Reading alignment file './amphibians.phy'
INFO     | 2013-02-14 15:08:36,162 | raxml      | Making MP tree for ./analysis/start_tree/filtered_source.phy
INFO     | 2013-02-14 15:14:57,087 | raxml      | Estimating GTR+G branch lengths on tree using RAxML
INFO     | 2013-02-14 15:49:11,302 | raxml      | Branchlength estimation finished
INFO     | 2013-02-14 15:49:11,333 | analysis   | Starting tree with branch lengths is here: ./analysis/start_tree/RAxML_result.BLTREE
INFO     | 2013-02-14 15:49:11,335 | method     | Performing greedy analysis
INFO     | 2013-02-14 15:49:11,335 | method     | This will result in a maximum of 6546 schemes being created
INFO     | 2013-02-14 15:49:11,335 | method     | PartitionFinder will have to analyse a maximum of 1123 subsets of sites to complete this analysis
INFO     | 2013-02-14 15:49:11,342 | method     | Analysing starting scheme (scheme start_scheme)
INFO     | 2013-02-14 15:49:11,343 | progress   | Analysing scheme 1/6546
INFO     | 2013-02-14 15:49:48,202 | progress   | Finished subset 1/1123, 0.09 percent done
INFO     | 2013-02-14 15:50:50,836 | progress   | Finished subset 2/1123, 0.18 percent done
INFO     | 2013-02-14 15:52:39,524 | progress   | Finished subset 3/1123, 0.27 percent done
INFO     | 2013-02-14 15:55:48,138 | progress   | Finished subset 4/1123, 0.36 percent done
ERROR    | 2013-02-14 15:56:37,157 | main       | User interrupted the Program
